candidate_id,name,email,age,exam_subject,password,photo_path
CAND1000,Kelly Rollins,marytorres@example.net,30,Java,1234,
CAND1001,Kathy Fitzgerald,ycooper@example.net,30,Python,1234,
CAND1002,Craig Collins,anthonyshaw@example.org,30,Machine Learning,1234,
CAND1003,Dorothy Evans,william02@example.net,20,AI,1234,
CAND1004,Natalie Lyons,robert37@example.org,20,DBMS,1234,
CAND1005,Christy Cunningham,jesus46@example.com,22,Machine Learning,1234,
CAND1006,Edward Sosa,laurastevenson@example.net,19,DBMS,1234,
CAND1007,Zachary Weiss,christopherwatkins@example.org,27,Java,1234,
CAND1008,Mary Miller,wrightmadeline@example.org,23,AI,1234,
CAND1009,Robert Oliver,davidmunoz@example.net,28,AI,1234,
CAND1010,Faith Patel,phyllisferguson@example.com,22,Python,1234,
CAND1011,Zachary James,brenda54@example.net,22,Aptitude,1234,
CAND1012,Jesse Ross,pamela61@example.net,27,Aptitude,1234,
CAND1013,Rachel Lewis,lisa59@example.org,18,Machine Learning,1234,
CAND1014,Katherine Ortega,iestes@example.net,30,Python,1234,
CAND1015,Zachary Stephenson,ahall@example.net,30,Java,1234,
CAND1016,Amy Hughes,marie97@example.com,20,Java,1234,
CAND1017,Michael Neal,weaverandrea@example.com,30,DBMS,1234,
CAND1018,Krista Hodge,jamesstephen@example.org,27,AI,1234,
CAND1019,Michael Price,christopher33@example.net,22,Java,1234,
